Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric",70.520000,-57.923000,0.000000,top
"C2","10uF","C_0805_2012Metric",75.660000,-50.325000,0.000000,top
"C3","10uF","C_0805_2012Metric",75.610000,-57.225000,180.000000,top
"C4","4.7uF","C_0805_2012Metric",70.520000,-55.649700,180.000000,top
"C5","4.7uF","C_0805_2012Metric",67.980000,-48.271000,-90.000000,top
"C6","22uF","C_0805_2012Metric",70.520000,-53.351000,180.000000,top
"C7","4.7uF","C_0805_2012Metric",65.694000,-48.271000,90.000000,top
"C8","4.7uF","C_0805_2012Metric",70.520000,-60.209000,180.000000,top
"C9","10uF","C_0805_2012Metric",70.520000,-51.065000,0.000000,top
"C10","22uF","C_0805_2012Metric",48.610000,-46.425000,-90.000000,top
"C11","4.7uF","C_0805_2012Metric",70.520000,-62.495000,180.000000,top
"C12","10uF","C_0805_2012Metric",58.582000,-49.287000,90.000000,top
"C13","1uF","C_0805_2012Metric",39.160000,-52.125000,180.000000,top
"C14","1uF","C_0805_2012Metric",39.060000,-46.325000,0.000000,top
"C15","100nF","C_0805_2012Metric",109.560000,-65.825000,-90.000000,top
"C16","10uF","C_0805_2012Metric",27.460000,-67.875000,90.000000,top
"C17","100uF","CP_EIA-3528-15_AVX-H",112.360000,-65.625000,90.000000,top
"C18","1uF","C_0805_2012Metric",110.060000,-70.325000,90.000000,top
"C19","10uF","C_0805_2012Metric",115.160000,-65.725000,-90.000000,top
"C20","10nF","C_0805_2012Metric",53.248000,-53.478000,0.000000,top
"C21","12pF","C_0805_2012Metric",85.160000,-32.425000,-90.000000,top
"C22","100nF","C_0805_2012Metric",31.460000,-67.175000,-90.000000,top
"C23","100nF","C_0805_2012Metric",31.460000,-70.975000,90.000000,top
"C24","4.7uF","C_0805_2012Metric",63.408000,-48.271000,90.000000,top
"C25","10nF","C_0805_2012Metric",53.248000,-61.098000,0.000000,top
"C26","4.7uF","C_0805_2012Metric",53.502000,-64.781000,90.000000,top
"C27","2.2uF","C_0805_2012Metric",44.358000,-54.875000,0.000000,top
"C28","4.7uF","C_0805_2012Metric",63.789000,-64.781000,90.000000,top
"C29","100nF","C_0805_2012Metric",53.248000,-58.685000,0.000000,top
"C30","100nF","C_0805_2012Metric",53.248000,-55.891000,180.000000,top
"C31","4.7uF","C_0805_2012Metric",65.948000,-64.781000,90.000000,top
"C32","10uF","C_0805_2012Metric",61.122000,-69.734000,90.000000,top
"C33","2.2uF","C_0805_2012Metric",44.358000,-61.225000,180.000000,top
"C34","1uF/50V","C_1206_3216Metric",114.085000,-73.425000,180.000000,top
"C35","1uF/25V","C_0805_2012Metric",119.507000,-31.455000,0.000000,top
"C36","1uF/50V","C_1206_3216Metric",118.860000,-65.925000,0.000000,top
"C37","1uF/25V","C_0805_2012Metric",119.510000,-35.382000,0.000000,top
"C38","1uF/25V","C_0805_2012Metric",119.460000,-27.646000,0.000000,top
"C39","100nF","C_0805_2012Metric",86.260000,-40.825000,-90.000000,top
"C40","100nF","C_0805_2012Metric",70.760000,-41.025000,0.000000,top
"C41","12pF","C_0805_2012Metric",78.660000,-32.425000,-90.000000,top
"C42","100nF","C_0805_2012Metric",44.250000,-45.400000,180.000000,top
"D1","MBR0540","D_SOD-123",61.122000,-47.763000,-90.000000,top
"D2","MBR0540","D_SOD-123",50.200000,-53.605000,90.000000,top
"D3","MBR0540","D_SOD-123",47.660000,-53.605000,-90.000000,top
"D4","MBR0540","D_SOD-123",61.249000,-65.416000,90.000000,top
"D5","MBR0540","D_SOD-123",50.200000,-62.749000,90.000000,top
"D6","MBR0540","D_SOD-123",47.660000,-62.749000,-90.000000,top
"D7","MBR0540","D_SOD-123",25.360000,-53.025000,90.000000,top
"D8","LED GREEN","LED_0805_2012Metric",33.905000,-71.024500,-90.000000,top
"D9","LED RED","LED_0805_2012Metric",36.318000,-71.024500,-90.000000,top
"D10","1N5817","D_SOD-123",32.560000,-51.625000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",25.900000,-43.610000,-90.000000,top
"J4","XF2M-3315-1A","FH1233S05SH55",103.610000,-31.565000,180.000000,top
"J8","ED133UT2","HRS_FH26W-39S-0.3SHW(60)",101.450000,-23.240000,0.000000,top
"J9","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",25.900000,-30.440000,-90.000000,top
"L1","4.7uH","L_Taiyo-Yuden_NR-50xx_HandSoldering",54.518000,-47.509000,90.000000,top
"L2","2.2uH","L_Taiyo-Yuden_NR-40xx_HandSoldering",57.566000,-66.178000,90.000000,top
"Q1","AO3401A","SOT-23",28.810000,-52.875000,0.000000,top
"Q3","MMBT3904","SOT-23",48.660000,-32.650000,90.000000,top
"Q4","MMBT3904","SOT-23",48.560000,-39.625000,-90.000000,top
"R1","10k","R_0603_1608Metric",47.760000,-36.150000,-90.000000,top
"R2","5.1k","R_0603_1608Metric",33.950000,-45.350000,0.000000,top
"R3","1k","R_0603_1608Metric",34.010000,-67.425000,-90.000000,top
"R4","10k","R_0603_1608Metric",70.760000,-39.025000,180.000000,top
"R5","0","R_0603_1608Metric",56.260000,-33.825000,180.000000,top
"R6","10k","R_0603_1608Metric",70.760000,-37.225000,180.000000,top
"R7","5.1k","R_0603_1608Metric",33.950000,-40.000000,0.000000,top
"R8","1k","R_0603_1608Metric",36.318000,-67.425000,-90.000000,top
"R9","3.83k","R_0603_1608Metric",33.210000,-55.575000,180.000000,top
"R10","10k","R_0603_1608Metric",107.560000,-66.025000,-90.000000,top
"R11","10k","R_0603_1608Metric",49.360000,-36.150000,90.000000,top
"R12","5.1k","R_0603_1608Metric",34.150000,-31.300000,0.000000,top
"R13","5.1k","R_0603_1608Metric",34.175000,-28.300000,0.000000,top
"R14","10k","R_0603_1608Metric",56.260000,-37.025000,0.000000,top
"R15","10k","R_0603_1608Metric",70.760000,-35.525000,0.000000,top
"R16","10k","R_0603_1608Metric",56.260000,-35.425000,0.000000,top
"R18","43k","R_0603_1608Metric",68.941200,-66.271600,90.000000,top
"R19","1M","R_0603_1608Metric",49.692000,-56.907000,180.000000,top
"R20","52.3k","R_0603_1608Metric",46.390000,-56.907000,180.000000,top
"R21","680k","R_0603_1608Metric",29.481000,-67.651000,-90.000000,top
"R22","150k","R_0603_1608Metric",29.481000,-70.925000,-90.000000,top
"R23","1M","R_0603_1608Metric",49.692000,-59.193000,180.000000,top
"R24","47.5k","R_0603_1608Metric",46.390000,-59.193000,180.000000,top
"R26","47k","R_0603_1608Metric",114.085000,-71.425000,180.000000,top
"R27","47k","R_0603_1608Metric",119.685000,-29.525000,0.000000,top
"R28","47k","R_0603_1608Metric",118.160000,-68.125000,0.000000,top
"R29","47k","R_0603_1608Metric",119.760000,-33.350000,0.000000,top
"R30","100k","R_0603_1608Metric",119.685000,-25.746000,0.000000,top
"R31","100k","R_0603_1608Metric",23.250000,-52.225000,-90.000000,top
"R32","10k","R_0603_1608Metric",78.360000,-38.900000,-90.000000,top
"R33","10k","R_0603_1608Metric",70.760000,-33.775000,180.000000,top
"TH1","10k/3380K","R_0603_1608Metric",70.973200,-66.271600,-90.000000,top
"U1","RT9080-33GJ5","TSOT-23-5",75.660000,-53.825000,-90.000000,top
"U2","PCA9535PW","TSSOP-24_4.4x7.8mm_P0.65mm",63.510000,-36.387500,-90.000000,top
"U3","TPS651851RSLR","TPS651851RSLR",61.884000,-56.653000,180.000000,top
"U4","USBLC6-2P6","SOT-666",33.950000,-43.362500,0.000000,top
"U5","XC6206PxxxMR","SOT-23-3",39.060000,-49.225000,180.000000,top
"U6","ED078KH6","Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal",112.310000,-49.625000,90.000000,top
"U7","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",82.010000,-39.025000,-90.000000,top
"U8","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",93.585000,-58.875000,180.000000,top
"U9","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",41.760000,-37.625000,0.000000,top
"U11","TP4056","TP4056_SOP-8-PP",32.260000,-60.566000,-90.000000,top
"Y1","32.768K","Crystal_SMD_3215-2Pin_3.2x1.5mm",81.910000,-32.975000,0.000000,top
